"","trip.no","month","grid","year","trip"
"1",1,"May","egl M1",1999,1
"2",1,"May","egl M2",1999,1
"3",1,"May","egl MR1",1999,1
"4",1,"May","egl MR2",1999,1
"5",1,"May","hol M1",1999,1
"6",1,"May","hol M2",1999,1
"7",1,"May","hol MR1",1999,1
"8",1,"May","hol MR2",1999,1
"9",2,"Aug","egl M1",1999,2
"10",2,"Aug","egl M2",1999,2
"11",2,"Aug","egl MR1",1999,2
"12",2,"Aug","egl MR2",1999,2
"13",2,"Aug","hol M1",1999,2
"14",2,"Aug","hol M2",1999,2
"15",2,"Aug","hol MR1",1999,2
"16",2,"Aug","hol MR2",1999,2
"17",3,"Nov","egl M1",1999,3
"18",3,"Nov","egl M2",1999,3
"19",3,"Nov","egl MR1",1999,3
"20",3,"Nov","egl MR2",1999,3
"21",3,"Nov","hol M1",1999,3
"22",3,"Nov","hol M2",1999,3
"23",3,"Nov","hol MR1",1999,3
"24",3,"Nov","hol MR2",1999,3
"25",4,"Feb","egl M1",2000,4
"26",4,"Feb","egl M2",2000,4
"27",4,"Feb","egl MR1",2000,4
"28",4,"Feb","egl MR2",2000,4
"29",4,"Feb","hol M1",2000,4
"30",4,"Feb","hol M2",2000,4
"31",4,"Feb","hol MR1",2000,4
"32",4,"Feb","hol MR2",2000,4
"33",5,"May","egl M1",2000,5
"34",5,"May","egl M2",2000,5
"35",5,"May","egl MR1",2000,5
"36",5,"May","egl MR2",2000,5
"37",5,"May","hol M1",2000,5
"38",5,"May","hol M2",2000,5
"39",5,"May","hol MR1",2000,5
"40",5,"May","hol MR2",2000,5
"41",6,"Aug","egl M1",2000,6
"42",6,"Aug","egl M2",2000,6
"43",6,"Aug","egl MR1",2000,6
"44",6,"Aug","egl MR2",2000,6
"45",6,"Aug","hol M1",2000,6
"46",6,"Aug","hol M2",2000,6
"47",6,"Aug","hol MR1",2000,6
"48",6,"Aug","hol MR2",2000,6
"49",7,"Nov","egl M1",2000,7
"50",7,"Nov","egl M2",2000,7
"51",7,"Nov","egl MR1",2000,7
"52",7,"Nov","egl MR2",2000,7
"53",7,"Nov","hol M1",2000,7
"54",7,"Nov","hol M2",2000,7
"55",7,"Nov","hol MR1",2000,7
"56",7,"Nov","hol MR2",2000,7
"57",8,"Feb","egl M1",2001,8
"58",8,"Feb","egl M2",2001,8
"59",8,"Feb","egl MR1",2001,8
"60",8,"Feb","egl MR2",2001,8
"61",8,"Feb","hol M1",2001,8
"62",8,"Feb","hol M2",2001,8
"63",8,"Feb","hol MR1",2001,8
"64",8,"Feb","hol MR2",2001,8
"65",9,"May","egl M1",2001,9
"66",9,"May","egl M2",2001,9
"67",9,"May","egl MR1",2001,9
"68",9,"May","egl MR2",2001,9
"69",9,"May","hol M1",2001,9
"70",9,"May","hol M2",2001,9
"71",9,"May","hol MR1",2001,9
"72",9,"May","hol MR2",2001,9
"73",10,"Aug","egl M1",2001,10
"74",10,"Aug","egl M2",2001,10
"75",10,"Aug","egl MR1",2001,10
"76",10,"Aug","egl MR2",2001,10
"77",10,"Aug","hol M1",2001,10
"78",10,"Aug","hol M2",2001,10
"79",10,"Aug","hol MR1",2001,10
"80",10,"Aug","hol MR2",2001,10
"81",11,"Nov","egl M1",2001,11
"82",11,"Nov","egl M2",2001,11
"83",11,"Nov","egl MR1",2001,11
"84",11,"Nov","egl MR2",2001,11
"85",11,"Nov","hol M1",2001,11
"86",11,"Nov","hol M2",2001,11
"87",11,"Nov","hol MR1",2001,11
"88",11,"Nov","hol MR2",2001,11
"89",12,"May","egl M1",2002,12
"90",12,"May","egl M2",2002,12
"91",12,"May","egl MR1",2002,12
"92",12,"May","egl MR2",2002,12
"93",12,"May","hol M1",2002,12
"94",12,"May","hol M2",2002,12
"95",12,"May","hol MR1",2002,12
"96",12,"May","hol MR2",2002,12
"97",14,"Feb","egl M1",2003,14
"98",14,"Feb","egl MR1",2003,14
"99",14,"Feb","egl MR2",2003,14
"100",14,"Feb","hol M2",2003,14
"101",14,"Feb","hol MR1",2003,14
"102",14,"Feb","hol MR2",2003,14
"103",15,"May","egl M1",2003,15
"104",15,"May","egl MR1",2003,15
"105",15,"May","egl MR2",2003,15
"106",15,"May","hol M2",2003,15
"107",15,"May","hol MR1",2003,15
"108",15,"May","hol MR2",2003,15
"109",16,"Aug","egl M1",2003,16
"110",16,"Aug","egl MR1",2003,16
"111",16,"Aug","egl MR2",2003,16
"112",16,"Aug","hol M2",2003,16
"113",16,"Aug","hol MR1",2003,16
"114",16,"Aug","hol MR2",2003,16
"115",17,"Nov","egl M1",2003,17
"116",17,"Nov","egl MR1",2003,17
"117",17,"Nov","egl MR2",2003,17
"118",17,"Nov","hol M2",2003,17
"119",17,"Nov","hol MR1",2003,17
"120",17,"Nov","hol MR2",2003,17
"121",18,"Feb","egl M1",2004,18
"122",18,"Feb","egl MR1",2004,18
"123",18,"Feb","egl MR2",2004,18
"124",18,"Feb","hol M2",2004,18
"125",18,"Feb","hol MR1",2004,18
"126",18,"Feb","hol MR2",2004,18
"127",19,"May","egl M1",2004,19
"128",19,"May","egl MR1",2004,19
"129",19,"May","egl MR2",2004,19
"130",19,"May","hol M2",2004,19
"131",19,"May","hol MR1",2004,19
"132",19,"May","hol MR2",2004,19
"133",20,"Aug","egl M1",2004,20
"134",20,"Aug","egl MR1",2004,20
"135",20,"Aug","egl MR2",2004,20
"136",20,"Aug","hol M2",2004,20
"137",20,"Aug","hol MR1",2004,20
"138",20,"Aug","hol MR2",2004,20
"139",13,"Nov","egl M1",2002,13
"140",13,"Nov","egl M2",2002,13
"141",13,"Nov","egl MR1",2002,13
"142",13,"Nov","egl MR2",2002,13
"143",13,"Nov","hol M1",2002,13
"144",13,"Nov","hol M2",2002,13
"145",13,"Nov","hol MR1",2002,13
"146",13,"Nov","hol MR2",2002,13
"147",21,"Nov","egl M1",2004,21
"148",21,"Nov","egl MR1",2004,21
"149",21,"Nov","egl MR2",2004,21
"150",21,"Nov","hol M2",2004,21
"151",21,"Nov","hol MR1",2004,21
"152",21,"Nov","hol MR2",2004,21
