"","egl M1","egl M2","egl MR1","egl MR2","hol M1","hol M2","hol MR1","hol MR2"
"1",29,10,14,20,1,20,0,12
"2",65,47,53,82,1,14,0,17
"3",75,52,40,99,5,11,5,13
"4",22,12,12,29,4,6,4,11
"5",32,7,24,28,6,28,7,47
"6",46,56,32,60,9,48,7,65
"7",65,61,77,41,21,29,17,67
"8",24,10,12,18,10,31,10,30
"9",13,3,9,7,10,25,12,18
"10",0,0,2,1,2,13,0,0
"11",1,0,0,0,0,0,0,0
"12",1,0,0,0,0,0,1,0
"13",1,0,0,0,0,0,0,0
"14",1,0,0,1,0,1,1,0
"15",6,0,1,9,0,4,3,0
"16",13,0,6,51,0,10,5,15
"17",12,0,5,55,0,15,4,20
"18",35,0,23,29,0,22,6,9
"19",11,0,6,19,0,9,2,4
"20",4,0,3,14,0,3,1,3
