Year,Tnow,Tlag1,Tlag2,DT
1960,15.87161661,NA,NA,NA
1961,16.02202381,15.87161661,NA,NA
1962,17.05439708,16.02202381,15.87161661,0.1504072
1963,16.79861751,17.05439708,16.02202381,1.032373273
1964,15.93225807,16.79861751,17.05439708,-0.25577957
1965,16.61933564,15.93225807,16.79861751,-0.866359447
1966,16.59719662,16.61933564,15.93225807,0.68707757
1967,15.76121352,16.59719662,16.61933564,-0.022139017
1968,16.80385613,15.76121352,16.59719662,-0.835983103
1969,15.99168587,16.80385613,15.76121352,1.042642617
1970,17.10533794,15.99168587,16.80385613,-0.812170267
1971,17.48895929,17.10533794,15.99168587,1.113652073
1972,16.21889136,17.48895929,17.10533794,0.383621353
1973,16.53400538,16.21889136,17.48895929,-1.27006793
1974,15.98220046,16.53400538,16.21889136,0.315114013
1975,17.98306452,15.98220046,16.53400538,-0.551804913
1976,15.08644791,17.98306452,15.98220046,2.000864053
1977,15.55499232,15.08644791,17.98306452,-2.89661661
1978,17.15228495,15.55499232,15.08644791,0.468544413
1979,16.71952765,17.15228495,15.55499232,1.597292627
1980,15.85708194,16.71952765,17.15228495,-0.432757297
1981,17.53673195,15.85708194,16.71952765,-0.86244571
1982,17.00130568,17.53673195,15.85708194,1.67965001
1983,15.67517281,17.00130568,17.53673195,-0.535426267
1984,16.06023359,15.67517281,17.00130568,-1.326132873
1985,17.17937788,16.06023359,15.67517281,0.385060783
1986,17.58938172,17.17937788,16.06023359,1.11914429
1987,16.4297235,17.58938172,17.17937788,0.410003837
1988,16.45192807,16.4297235,17.58938172,-1.15965822
1989,17.22592166,16.45192807,16.4297235,0.022204567
1990,17.64759984,17.22592166,16.45192807,0.773993593
1991,16.34153226,17.64759984,17.22592166,0.421678183
1992,15.72237671,16.34153226,17.64759984,-1.306067587
1993,14.98621352,15.72237671,16.34153226,-0.619155543
1994,16.67864823,14.98621352,15.72237671,-0.736163197
1995,16.58734639,16.67864823,14.98621352,1.692434717
1996,16.60328142,16.58734639,16.67864823,-0.091301843
1997,15.91436252,16.60328142,16.58734639,0.015935033
1998,17.90167051,15.91436252,16.60328142,-0.688918903
1999,18.16514977,17.90167051,15.91436252,1.987307987
2000,15.88036708,18.16514977,17.90167051,0.263479263
2001,16.79857911,15.88036708,18.16514977,-2.284782693
2002,16.3655914,16.79857911,15.88036708,0.918212033
2003,16.83185484,16.3655914,16.79857911,-0.43298771
2004,15.83001483,16.83185484,16.3655914,0.46626344
2005,17.0593702,15.83001483,16.83185484,-1.001840007
2006,16.16452881,17.0593702,15.83001483,1.22935537
2007,16.13525667,16.16452881,17.0593702,-0.89484139
2008,17.40463627,16.13525667,16.16452881,-0.029272147
2009,16.39232679,17.40463627,16.13525667,1.269379603
2010,16.29059584,16.39232679,17.40463627,-1.012309477
2011,16.68720078,16.29059584,16.39232679,-0.101730953
